"","X","coordinateUncertaintyInMeters","occurrenceStatus","decimalLongitude","decimalLatitude"
"1256",1256,NA,"PRESENT",-558979.095913492,619200.213657419
"1257",1257,NA,"PRESENT",-515655.243099126,773065.452573473
"1258",1258,NA,"PRESENT",-1565421.93107817,4634345.32339204
"1259",1259,NA,"PRESENT",-545897.846848425,402886.590846127
"1260",1260,NA,"PRESENT",-534754.201212506,1144603.34709275
"1261",1261,NA,"PRESENT",-2074763.70367878,3469911.04063887
"1262",1262,NA,"PRESENT",-562935.927197705,374391.185498319
"1263",1263,NA,"PRESENT",-533176.858953769,575322.364362625
"1264",1264,NA,"PRESENT",-2092834.40786346,3500757.86087587
"1265",1265,31451,"PRESENT",-2092383.00881911,3467812.51895689
"1266",1266,5,"PRESENT",-2086901.5413139,3477156.81084493
"1267",1267,10,"PRESENT",-2086897.54365504,3477120.1558225
"1268",1268,10,"PRESENT",-2081781.2910512,3474289.40751961
"1269",1269,5,"PRESENT",-2086584.44553026,3477304.40447977
"1270",1270,100,"PRESENT",-1224713.09013635,1858805.31733738
"1271",1271,31451,"PRESENT",-2114272.19153089,3465721.45868733
"1272",1272,31398,"PRESENT",-1812495.33831474,4052033.18447666
"1273",1273,30298,"PRESENT",-513792.116602612,1133025.97733179
"1274",1274,31398,"PRESENT",-1788630.02119546,4052164.9322754
"1275",1275,31126,"PRESENT",-1743234.90900877,2270781.70048608
"1276",1276,31450,"PRESENT",-2105713.76006809,3457977.29126325
"1277",1277,31451,"PRESENT",-2055649.37969344,3472086.12131833
"1278",1278,31451,"PRESENT",-2088345.35869291,3474388.99159424
"1279",1279,NA,"PRESENT",-910867.154017013,1501402.53077008
"1280",1280,NA,"PRESENT",-2086901.59182988,3477137.36531663
"1281",1281,NA,"PRESENT",-1805848.36390868,4081485.17920827
"1282",1282,NA,"PRESENT",-1630747.61031609,4080267.98504019
"1283",1283,NA,"PRESENT",-1270189.54646593,1869624.7759717
"1284",1284,NA,"PRESENT",-529007.34281105,902999.699214587
"1285",1285,NA,"PRESENT",-1287111.22290526,2131569.23783262
"1286",1286,NA,"PRESENT",-529058.580940947,834187.296608121
"1287",1287,NA,"PRESENT",-1817070.7662956,4050662.74866807
"1288",1288,NA,"PRESENT",-912827.981451423,1501779.60524927
"1289",1289,NA,"PRESENT",-528712.020902326,907773.936148191
"1290",1290,NA,"PRESENT",-2086979.11064201,3345776.3126669
"1291",1291,NA,"PRESENT",-649793.287947294,1703754.7269592
"1292",1292,NA,"PRESENT",-505204.528882344,1022021.07062034
"1293",1293,NA,"PRESENT",-2079832.31569795,3474693.15020999
"1294",1294,NA,"PRESENT",-549426.967772458,611157.702956819
"1295",1295,NA,"PRESENT",-1806813.16288516,4083545.7383919
"1296",1296,NA,"PRESENT",-644232.925613394,539821.110267175
"1297",1297,NA,"PRESENT",-600368.548110336,568567.453048062
"1298",1298,NA,"PRESENT",-658757.033661428,489903.83453057
"1299",1299,NA,"PRESENT",-1816228.36270744,4049989.64625954
"1300",1300,NA,"PRESENT",-492731.502725835,1483501.39562289
"1301",1301,NA,"PRESENT",-552737.569701298,614713.456785786
"1302",1302,NA,"PRESENT",-2093960.76744391,3485788.11303755
"1303",1303,NA,"PRESENT",-506240.042282868,771861.349373968
"1304",1304,NA,"PRESENT",-525930.093276913,962627.234863456
"1305",1305,NA,"PRESENT",-2080352.90799311,3474311.24781846
"1306",1306,NA,"PRESENT",-1811234.39046098,4054142.10370854
"1307",1307,NA,"PRESENT",-2075155.75782321,3472905.18700361
"1308",1308,NA,"PRESENT",-992212.007002668,283792.87881543
